,Name,Search_name,Exclude_entries
4370,Cravings La Carreta,cravings la carreta,
4371,Puddos,puddos,
4372,BrewDog Brunch,brewdog brunch,
4373,BrewDog Beers & Pizza,brewdog beers & pizza,
4374,Crazy Burgerz,crazy burgerz,
4375,The Seafarer,the seafarer,
4376,Crazy Chicken,crazy chicken,
4377,Crazy Chops Bistro,crazy chops bistro,
4378,News & Booze,news & booze,
4379,Brew,brew,
4380,Pulcinella Pizzeria,pulcinella pizzeria,
4381,Karahi N Kebab,karahi n kebab,
4382,Crazy Goat,crazy goat,
4383,Newlands Park Fisheries,newlands park fisheries,
4384,Crazy Over Burger,crazy over burger,
4385,Newcastle Kebab House,newcastle kebab house,
4386,Stationgrill,stationgrill,
4387,Karapincha,karapincha,
4388,Brekkie Green,brekkie green,
4389,Crazy Pizza,crazy pizza,
4390,Punjab Balti House,punjab balti house,
4391,Broadway Desserts,broadway desserts,
4392,Broadway Fish Bar,broadway fish bar,
4393,The Pannini Grill,the pannini grill,
4394,Street Guys,street guys,
4395,Bubble Tea & Ice Cream,bubble tea & ice cream,
4396,PresoTea,presotea,
4397,Noks Thai Street Food,noks thai street food,
4398,The Pitta,the pitta,
4399,Bubble N' Pop,bubble n' pop,
4400,Prestat,prestat,
4401,The Pizza Base,the pizza base,
4402,The Pizza Box Co,the pizza box co,
4403,Bubble Chai,bubble chai,
4404,Street Heat,street heat,
4405,The Pizza King,the pizza king,
4406,Brunch,brunch,
4407,No1 Pizza,no1 pizza,
4408,The Pizza Planet,the pizza planet,
4409,Brunos,brunos,
4410,Street Dough,street dough,
4411,Brunch Time,brunch time,
4412,Street Burger,street burger,
4413,Brunch Cafe,brunch cafe,
4414,Brunch Box,brunch box,
4415,Brunch Bar,brunch bar,
4416,Street,street,
4417,Stretford Foodhall,stretford foodhall,
4418,Stripclub Streetfood - Burgers,stripclub streetfood - burgers,
4419,Bubble Tea by MamaLan,bubble tea by mamalan,
4420,Bubble Waffle,bubble waffle,
4421,Noodle Inn Vegetarian,noodle inn vegetarian,
4422,The Parade Cuisine,the parade cuisine,
4423,Noodle Inn,noodle inn,
4424,Noodle Hut,noodle hut,
4425,Noodle Express,noodle express,
4426,Noodle Brothers,noodle brothers,
4427,Costa Coffee - Plymouth,costa coffee - plymouth,
4428,Subarashi Sushi,subarashi sushi,
4429,Sub Xpress,sub xpress,
4430,The Pavilion,the pavilion,
4431,The Paxton,the paxton,
4432,Nonna’s Cucina,nonna’s cucina,
4433,Bubblycious,bubblycious,
4434,Nonnalina,nonnalina,
4435,Bubblewrap Waffle,bubblewrap waffle,
4436,St￭,st￭,
4437,Stumpy Baile's Gourmet Pizza Co @ excellar,stumpy baile's gourmet pizza co @ excellar,
4438,The Perfect Burger and Grill,the perfect burger and grill,
4439,The Perfect Pizza,the perfect pizza,
